,DateTime,ID,Length,Width,Height,Equipment_ID,FSALDU,Service,Barcode_Type,FSA,Destination,FeedDate,FeedTime,Maxlength,Hour,Volume,Size,Shift,Fine_Dest
0,2022/08/04 7:44,413CU738093363CA,265,215,144,1260,,C,292,,,2022/08/04,7:44:37,10.43307087,7,501,1,2,
1,2022/08/04 7:44,5091VCM261728733573511100100000,215,210,174,1260,V2C6M1,1,NGB,V2C,Vancouver,2022/08/04,7:44:40,8.464566929,7,479,1,2,Vancouver XP
2,2022/08/04 7:44,5091TYA159728733573511090500000,225,210,170,1260,T1Y5A9,1,NGB,T1Y,Calg,2022/08/04,7:44:43,8.858267717,7,490,1,2,Calgary XP
3,2022/08/04 7:44,413CY310868964US,255,245,104,1260,,C,292,,,2022/08/04,7:44:46,10.03937008,7,396,1,2,
4,2022/08/04 7:44,5092LKE127728733573511377700000,215,175,212,1260,L1K2E7,2,NGB,L1K,YDC,2022/08/04,7:44:50,8.464566929,7,487,1,2,YDC
5,2022/08/04 7:44,413CY129435236US,290,220,138,1260,,C,292,,,2022/08/04,7:44:55,11.41732283,7,537,1,2,
6,2022/08/04 7:45,5091KJW231728733573511390600000,220,215,174,1260,K2J3W1,1,NGB,K2J,Ottawa,2022/08/04,7:45:07,8.661417323,7,502,1,2,Ottawa
7,2022/08/04 7:45,5091TME921728733573511579500000,220,210,172,1260,T9M2E1,1,NGB,T9M,Edm,2022/08/04,7:45:09,8.661417323,7,485,1,2,Edmonton XP
8,2022/08/04 7:45,5091LCC105400624400003050200003,320,255,146,1260,L1C0C5,1,NGB,L1C,YDC,2022/08/04,7:45:13,12.5984252,7,727,2,2,YDC
9,2022/08/04 7:45,510CTWA022102645885076152002100,255,245,96,1260,T0W2A2,C,NGB,T0W,Calg,2022/08/04,7:45:15,10.03937008,7,366,1,2,Calg
10,2022/08/04 7:45,5091NRZ377201106843152551600200,220,140,60,1260,N3R7Z7,1,NGB,N3R,Hamilton Fwd,2022/08/04,7:45:17,8.661417323,7,113,1,2,Hamilton Fwd
11,2022/08/04 7:45,413LE079689111GB,595,305,168,1260,,L,292,,,2022/08/04,7:45:21,23.42519685,7,1860,2,2,
12,2022/08/04 7:45,510CTWA022102645885158668902100,225,170,162,1260,T0W2A2,C,NGB,T0W,Calg,2022/08/04,7:45:22,8.858267717,7,378,1,2,Calg
13,2022/08/04 7:45,413EB083653348IR,220,200,154,1260,,E,292,,,2022/08/04,7:45:27,8.661417323,7,413,1,2,
14,2022/08/04 7:45,509PMAZ536896954396499640309100,575,375,124,1260,M5A3Z6,P,NGB,M5A,YDC,2022/08/04,7:45:28,22.63779528,7,1632,2,2,YDC
15,2022/08/04 7:45,5091MCJ115400484400020852300000,370,270,110,1260,M1C1J5,1,NGB,M1C,Montreal City,2022/08/04,7:45:37,14.56692913,7,671,2,2,Montreal City
16,2022/08/04 7:45,413LV541820318CN,290,285,94,1260,,L,292,,,2022/08/04,7:45:39,11.41732283,7,474,1,2,
17,2022/08/04 7:45,413CY129417100US,265,220,146,1260,,C,292,,,2022/08/04,7:45:40,10.43307087,7,519,1,2,
18,2022/08/04 7:45,413EV022728970CN,935,655,36,1260,,E,292,,,2022/08/04,7:45:44,36.81102362,7,1345,4,2,
19,2022/08/04 7:45,5091LRG546714093665939636109000,330,230,72,1260,L5R4G6,1,NGB,L5R,WPDH,2022/08/04,7:45:55,12.99212598,7,333,2,2,WPDH
20,2022/08/04 7:45,SYN126020220804003680,290,230,90,1260,,,SYN,,,2022/08/04,7:45:57,11.41732283,7,366,1,2,
21,2022/08/04 7:46,509PLRA303010344985190303400000,465,335,94,1260,L3R0A3,P,NGB,L3R,YDC,2022/08/04,7:46:00,18.30708661,7,894,2,2,YDC
22,2022/08/04 7:46,509PLPR911933238982815133009102,940,265,92,1260,L9P1R1,P,NGB,L9P,Toronto East DCF,2022/08/04,7:46:04,37.00787402,7,1398,4,2,Toronto East DCF
23,2022/08/04 7:46,5091MNY322010541986593103100000,420,325,228,1260,M3N2Y2,1,NGB,M3N,WPDH,2022/08/04,7:46:09,16.53543307,7,1899,2,2,WPDH
24,2022/08/04 7:46,5091MHC116035597687385203900000,370,285,166,1260,M1H1C6,1,NGB,M1H,YDC,2022/08/04,7:46:12,14.56692913,7,1068,2,2,YDC
25,2022/08/04 7:46,SYN126020220804003681,400,315,250,1260,,,SYN,,,2022/08/04,7:46:15,15.7480315,7,1922,2,2,
26,2022/08/04 7:46,5091MNM272978001687338933500000,275,190,110,1260,M2N7M2,1,NGB,M2N,WPDH,2022/08/04,7:46:16,10.82677165,7,351,1,2,WPDH
27,2022/08/04 7:46,413EA625447422CN,240,205,118,1260,,E,292,,,2022/08/04,7:46:18,9.448818898,7,354,1,2,
28,2022/08/04 7:46,5091MRP525035186585098803500000,320,305,320,1260,M5R2P5,1,NGB,M5R,WPDH,2022/08/04,7:46:20,12.5984252,7,1906,2,2,WPDH
29,2022/08/04 7:46,618618330530LO01000,490,305,164,1260,,,SYN,,,2022/08/04,7:46:23,19.29133858,7,1496,2,2,
30,2022/08/04 7:46,5091LME105200866268614551000100,185,150,136,1260,L1M0E5,1,NGB,L1M,YDC,2022/08/04,7:46:24,7.283464567,7,230,1,2,YDC
31,2022/08/04 7:46,5091LZR623010403387389803500000,220,190,188,1260,L6Z2R3,1,NGB,L6Z,WPDH,2022/08/04,7:46:28,8.661417323,7,480,1,2,WPDH
32,2022/08/04 7:46,413LX082424159US,350,235,128,1260,,L,292,,,2022/08/04,7:46:32,13.77952756,7,642,2,2,
33,2022/08/04 7:46,5091KLZ918000097383230303100000,360,265,118,1260,K9L1Z8,1,NGB,K9L,Peterborough 0,2022/08/04,7:46:34,14.17322835,7,687,2,2,Peterborough 0
34,2022/08/04 7:46,5091LGV945110216833756049000000,305,270,100,1260,L9G4V5,1,NGB,L9G,Hamilton City,2022/08/04,7:46:36,12.00787402,7,503,2,2,Hamilton City
35,2022/08/04 7:46,5091LPP117057450382747003700000,230,200,168,1260,L1P1P7,1,NGB,L1P,YDC,2022/08/04,7:46:37,9.05511811,7,472,1,2,YDC
36,2022/08/04 7:46,5091MRN233400766281573742000000,245,165,112,1260,M2R3N3,1,NGB,M2R,YDC,2022/08/04,7:46:49,9.645669291,7,276,1,2,YDC
37,2022/08/04 7:46,510BMHT354400987595921808502100,520,430,384,1260,M3H5T4,B,NGB,M3H,WPDH,2022/08/04,7:46:57,20.47244094,7,5240,2,2,WPDH
38,2022/08/04 7:47,5092SPY436729781062040936600100,565,545,548,1260,S4P3Y6,2,NGB,S4P,Regina,2022/08/04,7:47:02,22.24409449,7,10297,2,2,Regina EP/RG
39,2022/08/04 7:47,5092RCJ242729781060284636300100,565,545,552,1260,R2C4J2,2,NGB,R2C,Wpg,2022/08/04,7:47:07,22.24409449,7,10372,2,2,Winnipeg EP/RG
40,2022/08/04 7:47,413TM201668193CA,335,230,164,1260,,T,292,,,2022/08/04,7:47:10,13.18897638,7,771,2,2,
41,2022/08/04 7:47,SYN126020220804003682,270,215,80,1260,,,SYN,,,2022/08/04,7:47:16,10.62992126,7,283,1,2,
42,2022/08/04 7:47,5092SPY436729781060285536500100,435,425,332,1260,S4P3Y6,2,NGB,S4P,Regina,2022/08/04,7:47:29,17.12598425,7,3746,2,2,Regina EP/RG
43,2022/08/04 7:47,5092RPT323729781060285236400100,525,515,324,1260,R3P2T3,2,NGB,R3P,Wpg,2022/08/04,7:47:37,20.66929134,7,5346,2,2,Winnipeg EP/RG
44,2022/08/04 7:47,5092RME255729781060283936500100,555,550,546,1260,R2M5E5,2,NGB,R2M,Wpg,2022/08/04,7:47:49,21.8503937,7,10171,2,2,Winnipeg EP/RG
45,2022/08/04 7:47,5092RGW304729781060284436900100,555,555,550,1260,R3G0W4,2,NGB,R3G,Wpg,2022/08/04,7:47:56,21.8503937,7,10338,2,2,Winnipeg EP/RG
46,2022/08/04 7:48,5092NEG244201725614362738100000,1465,100,90,1260,N2E4G4,2,NGB,N2E,Kitchener City,2022/08/04,7:48:53,57.67716535,7,805,4,2,Kitchener City
47,2022/08/04 7:49,SYN126020220804003683,1160,195,104,1260,,,SYN,,,2022/08/04,7:49:04,45.66929134,7,1436,4,2,
